Base system latency measurement,,,,,,,
,"time [s], from the wav file",,,,,,
filename,begin - sound ON,sound OFF,sound ON,sound OFF,sound ON,end / sound OFF,average latency [s]
played.wav,0,0.3213378685,0.4527210884,0.6878684807,0.8527210884,0.9999886621,
out1.wav,0.0069375,0.3284375,0.4588125,0.6944375,0.85875,0.9999375,0.0064472435
out2.wav,0.0064375,0.3279375,0.4583125,0.693875,0.85825,0.9999375,0.0059316185
out3.wav,0,0.323,0.453375,0.689,0.8533125,0.9999375,0.0010097435
out4.wav,0.00675,0.3281875,0.4585625,0.6941875,0.8585625,0.9999375,0.0062128685
out5.wav,0,0.3240625,0.4544375,0.6900625,0.854375,0.9999375,0.0020722435
out6.wav,0.0050625,0.3265625,0.4569375,0.6925,0.856875,0.9999375,0.0045566185
out7.wav,0.0065,0.3280625,0.458375,0.694,0.858375,0.9999375,0.0060409935
out8.wav,0.004125,0.325625,0.456,0.6915625,0.8559375,0.9999375,0.0036191185
out9.wav,0.0048125,0.3263125,0.4566875,0.6923125,0.856625,0.9999375,0.0043222435
out10.wav,0.00575,0.3270625,0.4575625,0.693125,0.8575,0.9999375,0.0051503685
out11.wav,0,0.323625,0.4539375,0.6895625,0.8539375,0.9999375,0.0016034935
out12.wav,0,0.3235,0.453875,0.6895,0.8538125,0.9999375,0.0015097435
out13.wav,0,0.32275,0.4531875,0.68875,0.853125,0.9999375,0.0007909935
out14.wav,0,0.3245,0.454875,0.6905,0.8548125,0.9999375,0.0025097435
out15.wav,0.0038125,0.3253125,0.4556875,0.6913125,0.855625,0.9999375,0.0033222435
out16.wav,0,0.3243125,0.4546875,0.6903125,0.854625,0.9999375,0.0023222435
out17.wav,0,0.3225625,0.4529375,0.6885625,0.852875,0.9999375,0.0005722435
out18.wav,0.0055,0.327,0.457375,0.693,0.8573125,0.9999375,0.0050097435
out19.wav,0.0045,0.326,0.456375,0.692,0.8563125,0.9999375,0.0040097435
out20.wav,0,0.324125,0.4545,0.690125,0.8544375,0.9999375,0.0021347435
out21.wav,0,0.3223125,0.45275,0.6883125,0.8526875,0.9999375,0.0003534935
,,,,,,Average,0.0033095947
