filename, event timestamps,,,,,
1s_44100_2ch_16b.wav,0,0.321337868480726,0.452721088435374,0.687868480725624,0.852721088435374,0.999988662131519
out1.wav,0.2780625,0.6025,0.7251875,0.9705,1.125375,1.283125
out2.wav,0.2653125,0.5968125,0.717875,0.9605,1.1185,1.272875
out3.wav,0.2655,0.5895625,0.7156875,0.94625,1.10425,1.2588125
out4.wav,0.2524375,0.578,0.7049375,0.9479375,1.104875,1.25825
out5.wav,0.251,0.583375,0.7049375,0.9479375,1.104875,1.2545625
out6.wav,0.2503125,0.57225,0.69825,0.9373125,1.0981875,1.25175
out7.wav,0.2485,0.573875,0.7018125,0.94575,1.1016875,1.258375
out8.wav,0.241375,0.5735,0.6985625,0.9368125,0.940125,0.94025
out9.wav,0.248125,0.5746875,0.70075,0.9425,1.1006875,1.256375
out10.wav,0.2470625,0.5754375,0.701875,0.9393125,0.9425,0.9429375
,,,,,,
,,,,,,
,,,,,,
,,,,,,
filename,Delay ,,,,,
out1.wav,0.2780625,0.281162131519274,0.272466411564626,0.282631519274376,0.272653911564626,0.283136337868481
out2.wav,0.2653125,0.275474631519274,0.265153911564626,0.272631519274376,0.265778911564626,0.272886337868481
out3.wav,0.2655,0.268224631519274,0.262966411564626,0.258381519274376,0.251528911564626,0.258823837868481
out4.wav,0.2524375,0.256662131519274,0.252216411564626,0.260069019274376,0.252153911564626,0.258261337868481
out5.wav,0.251,0.262037131519274,0.252216411564626,0.260069019274376,0.252153911564626,0.254573837868481
out6.wav,0.2503125,0.250912131519274,0.245528911564626,0.249444019274376,0.245466411564626,0.251761337868481
out7.wav,0.2485,0.252537131519274,0.249091411564626,0.257881519274376,0.248966411564626,0.258386337868481
out8.wav,0.241375,0.252162131519274,0.245841411564626,0.248944019274376,0.087403911564626,-0.059738662131519
out9.wav,0.248125,0.253349631519274,0.248028911564626,0.254631519274376,0.247966411564626,0.256386337868481
out10.wav,0.2470625,0.254099631519274,0.249153911564626,0.251444019274376,0.089778911564626,-0.057051162131519
